Companies,2025,2024,2023,2022,2021,2020
Shell,https://www.shell.com/sustainability/reporting-centre/_jcr_content/root/main/section_597740108/promo.multi.stream/1774544186011/5727c329a58b5eb7a54442c0a03f562a5aef1159/shell-annual-report-2025-interactive.pdf,https://www.shell.com/who-we-are/our-values/_jcr_content/root/main/section_874829968/list/list_item_copy.multi.stream/1752580693041/6c20b8111738b9a590ba145f0d1c4fa0e530dae0/shell-annual-report-2024.pdf,https://www.shell.com/sustainability/reporting-centre/reporting-centre-archive/_jcr_content/root/main/section_2106585602/tabs/tab/text_copy/links/item0.stream/1742906426699/4ef5cfa607e5e308ad8a68fc3ddffbe6342f8fa8/shell-sustainability-report-2023.pdf,https://www.shell.com/sustainability/reporting-centre/reporting-centre-archive/_jcr_content/root/main/section_2106585602/tabs/tab_274730988/text_copy_copy/links/item0.stream/1742906415853/a8cd71d354a0f93be5e9d7ca67243da915bc4ffa/shell-sustainability-report-2022.pdf,https://www.shell.com/sustainability/reporting-centre/reporting-centre-archive/_jcr_content/root/main/section_2106585602/tabs/tab_598795121/text_copy_copy_copy_/links/item0.stream/1742906404689/177c3ffdf8569f5b4ded34845ba698da7b44cac3/shell-sustainability-report-2021.pdf,https://www.shell.com/sustainability/reporting-centre/reporting-centre-archive/_jcr_content/root/main/section_2106585602/tabs/tab_66628456/text_copy/links/item0.stream/1742906414010/dfcb8b4f924831d394e111a4b71ced1dba07abfc/shell-sustainability-report-2020.pdf
BP,https://www.bp.com/content/dam/bp/business-sites/en/global/corporate/pdfs/sustainability/group-reports/bp-sustainability-report-2025.pdf,https://www.bp.com/content/dam/bp/business-sites/en/global/corporate/pdfs/sustainability/group-reports/bp-sustainability-report-2024.pdf,https://www.bp.com/content/dam/bp/business-sites/en/global/corporate/pdfs/sustainability/group-reports/bp-sustainability-report-2023.pdf,https://www.bp.com/content/dam/bp/country-sites/nl_be/belgium/home/documenten-mensenrechten/bp-sustainability-report-2022.pdf,https://www.bp.com/content/dam/bp/business-sites/en/global/corporate/pdfs/sustainability/group-reports/bp-sustainability-report-2021.pdf,https://www.bp.com/content/dam/bp/business-sites/en/global/corporate/pdfs/sustainability/group-reports/bp-sustainability-report-2020.pdf
Glencore,https://www.glencore.com/.rest/api/v1/documents/static/58d43f94-38de-4535-a765-9db9fbb7ad52/GLEN-2025-Sustainability-Report.pdf,https://www.glencore.com/.rest/api/v1/documents/static/72cdaa4f-71c1-4901-bb31-8819f38dbfcb/GLEN-2024-Sustainability-Report.pdf,https://www.glencore.com/.rest/api/v1/documents/static/be5b0554-2c1d-415d-8072-be6a30d91d79/GLEN-2023-Sustainability-Report.pdf,https://www.glencore.com/.rest/api/v1/documents/static/63d21a4e-30f6-40ca-b0f6-00ec64a718cf/GLEN_2022_sustainability_report.pdf,https://www.glencore.com/.rest/api/v1/documents/59122a94d9c86731923614217b1ce1dc/GLEN_2021_sustainability_report.pdf,https://www.glencore.com/.rest/api/v1/documents/2bc3336d8c25b7bb95e4a9b7c5e3bfc2/Glencore_SR_2020_highlights.pdf
Unilever,https://www.unilever.com/files/unilever-sustainability-statement.pdf,https://www.unilever.com/files/66bc4aea-608f-46ee-8da3-cde0ec8ebe90/unilever-annual-report-and-accounts-2023.pdf,https://www.unilever.co.id/files/7a7fa3d4-b017-4943-95c4-ead368c8ed54/unilever-sustainability-report-2023-hires.pdf,https://www.unilever.com/files/d30d4383-ed4e-4014-9443-ebd2fcfba898/unilever-annual-report-and-accounts-2022.pdf,https://www.unilever.com/files/33321193-0d9a-44dd-93f8-02209fc6bd54/annual-report-and-accounts-2021.pdf,https://www.unilever.com/files/196bb9f6-5fbf-4424-ab92-949db305ba4f/annual-report-and-accounts-2020.pdf
Nestl�,https://www.nestle.com/sites/default/files/2026-02/non-financial-statement-2025.pdf,https://www.nestle.com/sites/default/files/2025-02/non-financial-statement-2024.pdf,https://www.nestle.com/sites/default/files/2024-02/creating-shared-value-sustainability-report-2023-en.pdf,https://www.nestle.com/sites/default/files/2023-03/creating-shared-value-sustainability-report-2022-en.pdf,https://www.nestle.com/sites/default/files/2022-03/creating-shared-value-sustainability-report-2021-en.pdf,https://www.nestle.com/sites/default/files/2021-03/creating-shared-value-report-2020-en.pdf
Microsoft,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/msc/documents/presentations/CSR/2025-Microsoft-Environmental-Sustainability-Report.pdf#page=01,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/msc/documents/presentations/CSR/Microsoft-2024-Environmental-Sustainability-Report.pdf,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/msc/documents/presentations/CSR/The-2023-Impact-Summary.pdf,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/msc/documents/presentations/CSR/2022-Environmental-Sustainability-Report.pdf,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/msc/documents/presentations/CSR/2021-Environmental-Sustainability-Report.pdf,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/msc/documents/presentations/CSR/Microsoft-Environmental-Sustainability-Report-2020.pdf
HSBC,https://www.hsbc.com/-/files/hsbc/investors/hsbc-results/2025/annual/pdfs/hsbc-holdings-plc/260225-esg-datapack-2025.pdf,https://www.hsbc.com/-/files/hsbc/investors/hsbc-results/2024/annual/pdfs/hsbc-holdings-plc/250227-esg-review-2024.pdf,https://www.hsbc.com/-/files/hsbc/investors/hsbc-results/2023/annual/pdfs/hsbc-holdings-plc/240221-esg-review-2023.pdf,https://www.hsbc.com/-/files/hsbc/investors/hsbc-results/2022/annual/pdfs/hsbc-holdings-plc/230221-esg-datapack-2022.pdf?download=1,https://www.hsbc.com/-/files/hsbc/investors/hsbc-results/2021/annual/pdfs/hsbc-holdings-plc/220222-esg-review-2021.pdf,https://www.hsbc.com/-/files/hsbc/investors/hsbc-results/2020/annual/pdfs/hsbc-holdings-plc/210303-esg-review-2020.pdf
Barclays,https://home.barclays/content/dam/home-barclays/documents/citizenship/Sustainability/Barclays-Transition-Update.pdf,https://home.barclays/content/dam/home-barclays/documents/investor-relations/ResultAnnouncements/FullYear2024Results/20250213-FY24-Sustainability-and-Corporate-Responsibility.pdf,https://home.barclays/content/dam/home-barclays/documents/citizenship/ESG/2024/2023%20Barclays%20ESG%20Reporting%20Framework.pdf,https://home.barclays/content/dam/home-barclays/documents/citizenship/ESG/2022/FY22-ESG-Investor-Presentation.pdf,https://home.barclays/content/dam/home-barclays/documents/investor-relations/reports-and-events/annual-reports/2021/Barclays-TCFD-Report-2021.pdf,https://home.barclays/content/dam/home-barclays/documents/investor-relations/reports-and-events/annual-reports/2020/Barclays-PLC-2020-ESG-Report-2020.pdf
Barclays,https://home.barclays/content/dam/home-barclays/documents/investor-relations/reports-and-events/annual-reports/2025/Barclays-PLC-Annual-Report-2025.pdf,https://home.barclays/content/dam/home-barclays/documents/investor-relations/reports-and-events/annual-reports/2024/Barclays-PLC-Annual-Report-2024.pdf,https://home.barclays/content/dam/home-barclays/documents/investor-relations/reports-and-events/annual-reports/2023/Barclays-PLC-Annual-Report-2023.pdf,https://home.barclays/content/dam/home-barclays/documents/investor-relations/reports-and-events/annual-reports/2022/AR/Barclays-PLC-Annual-Report-2022.pdf,https://home.barclays/content/dam/home-barclays/documents/investor-relations/reports-and-events/annual-reports/2021/Barclays-PLC-Annual-Report-2021.pdf,https://home.barclays/content/dam/home-barclays/documents/investor-relations/reports-and-events/annual-reports/2020/Barclays-PLC-Annual-Report-2020.pdf
BlackRock,https://www.blackrock.com/corporate/literature/continuous-disclosure-and-important-information/climate-report-blkinc.pdf,https://www.blackrock.com/corporate/literature/continuous-disclosure-and-important-information/blackrock-sustainability-disclosure.pdf,https://www.queensu.ca/investmentservices/sites/iswww/files/uploaded_files/Reports/ESG%202025/BlackRock/Appendix%20C%20-%20BlackRock%202023%20SASB%20Disclosure.pdf,https://s24.q4cdn.com/856567660/files/doc_financials/2023/ar/BLK_AR22.pdf,https://climate-transparency-hub.ademe.fr/wp-content/uploads/2022/07/file/155564/Informations-SASB.pdf,https://d306pr3pise04h.cloudfront.net/attachments/cop_2021/496827/original/blackrock2020sasbdisclosure.pdf?1619643704
AXA,https://www-axa-com.cdn.prismic.io/www-axa-com/afyissBOoF08xuW-_axa_ri2025b_va.pdf,https://www-axa-com.cdn.prismic.io/www-axa-com/aN0RPZ5xUNkB1WmO_axa_ri2023_accessibleb_va.pdf,https://www-axa-com.cdn.prismic.io/www-axa-com/aN0PQ55xUNkB1Wid_axa_ri2022_accessiblec_va.pdf,https://www-axa-com.cdn.prismic.io/www-axa-com/aN0QpZ5xUNkB1Wk-_axa_impact_report_2022_va.pdf,https://www-axa-com.cdn.prismic.io/www-axa-com/aN0NX55xUNkB1WeL_axa_ri2021_va_accessible.pdf,https://www-axa-com.cdn.prismic.io/www-axa-com/aN0LzJ5xUNkB1Wa-_axa-ri2020-en-accessible.pdf
AXA,,https://www-axa-com.cdn.prismic.io/www-axa-com/aN0dsp5xUNkB1XFA_axa_climate_and_biodiversity_report_2024_va.pdf,https://www-axa-com.cdn.prismic.io/www-axa-com/aN0SVJ5xUNkB1Won_axa_climate_and_biodiversity_report_2023_va.pdf,https://www-axa-com.cdn.prismic.io/www-axa-com/aN0PwZ5xUNkB1WjZ_AXA2022_Climate_and_Biodiversity-Report_Final_22_07_19.pdf,https://www-axa-com.cdn.prismic.io/www-axa-com/aN0Nx55xUNkB1WfN_2021_Climate_Report.pdf,https://www-axa-com.cdn.prismic.io/www-axa-com/aN0I3Z5xUNkB1WS4_2020_climate_report_axa.pdf
